date,temperature_2m,wind_speed_10m,location,latitude,longitude
2026-09-03 00:00:00,34.5,26.6,Saint George,37.08267,-113.5791
2026-09-03 01:00:00,33.3,22.4,Saint George,37.08267,-113.5791
2026-09-03 02:00:00,30.5,12.1,Saint George,37.08267,-113.5791
2026-09-03 03:00:00,27.7,9.2,Saint George,37.08267,-113.5791
2026-09-03 04:00:00,25.9,4.6,Saint George,37.08267,-113.5791
2026-09-03 05:00:00,25.1,11.2,Saint George,37.08267,-113.5791
2026-09-03 06:00:00,23.4,7.0,Saint George,37.08267,-113.5791
2026-09-03 07:00:00,22.2,10.1,Saint George,37.08267,-113.5791
2026-09-03 08:00:00,21.8,12.7,Saint George,37.08267,-113.5791
2026-09-03 09:00:00,21.3,11.8,Saint George,37.08267,-113.5791
2026-09-03 10:00:00,20.4,5.0,Saint George,37.08267,-113.5791
2026-09-03 11:00:00,18.9,8.9,Saint George,37.08267,-113.5791
2026-09-03 12:00:00,18.4,11.2,Saint George,37.08267,-113.5791
2026-09-03 13:00:00,17.7,9.2,Saint George,37.08267,-113.5791
2026-09-03 14:00:00,19.1,4.6,Saint George,37.08267,-113.5791
2026-09-03 15:00:00,23.9,9.8,Saint George,37.08267,-113.5791
2026-09-03 16:00:00,26.6,5.8,Saint George,37.08267,-113.5791
2026-09-03 17:00:00,28.9,2.3,Saint George,37.08267,-113.5791
2026-09-03 18:00:00,30.7,4.6,Saint George,37.08267,-113.5791
2026-09-03 19:00:00,32.3,11.5,Saint George,37.08267,-113.5791
2026-09-03 20:00:00,33.5,18.6,Saint George,37.08267,-113.5791
2026-09-03 21:00:00,34.1,20.7,Saint George,37.08267,-113.5791
2026-09-03 22:00:00,35.2,22.9,Saint George,37.08267,-113.5791
2026-09-03 23:00:00,35.1,24.5,Saint George,37.08267,-113.5791
2026-09-04 00:00:00,34.2,25.3,Saint George,37.08267,-113.5791
2026-09-04 01:00:00,33.0,22.8,Saint George,37.08267,-113.5791
2026-09-04 02:00:00,29.5,9.3,Saint George,37.08267,-113.5791
2026-09-04 03:00:00,27.0,5.9,Saint George,37.08267,-113.5791
2026-09-04 04:00:00,26.0,9.0,Saint George,37.08267,-113.5791
2026-09-04 05:00:00,23.0,8.9,Saint George,37.08267,-113.5791
2026-09-04 06:00:00,22.0,8.5,Saint George,37.08267,-113.5791
2026-09-04 07:00:00,21.2,10.9,Saint George,37.08267,-113.5791
